Assets
DIA
EEM
EFA
AGG
BND
LQD
VCIT
HYG
VCSH
BNDX
EWH
EWJ
EWT
EWZ
FXI
GLD
IAU
SLV
USO
UNG
ILF
IWM
IYR
QQQ
SPY
XHB
XLB
XLE
XLF
XLI
XLV
