Date,AV,C,TV
2015-01-27,12095.554613113403,3143.9185333251953,15239.473146438599
2015-01-28,14741.679016113281,353.26921463012695,15094.948230743408
2015-01-29,15087.670097351074,159.0067596435547,15246.676856994629
2015-01-30,14929.478870391846,117.33464050292969,15046.813510894775
2015-02-02,8975.406301498413,6251.500034332275,15226.906335830688
2015-02-03,6435.869873046875,8934.23390007019,15370.103773117065
2015-02-04,13840.919944763184,1509.4039516448975,15350.323896408081
2015-02-05,12448.269920349121,2920.963918685913,15369.233839035034
2015-02-06,14669.199783325195,618.2739543914795,15287.473737716675
2015-02-09,15187.470016479492,98.53395652770996,15286.003973007202
2015-02-10,15156.089859008789,98.53395652770996,15254.623815536499
2015-02-11,15154.529945373535,98.53395652770996,15253.063901901245
2015-02-12,10717.67993927002,4560.994016647339,15278.673955917358
2015-02-13,11366.430198669434,3903.4840354919434,15269.914234161377
2015-02-17,14504.109916687012,728.6440658569336,15232.753982543945
2015-02-18,14430.939987182617,833.1240539550781,15264.064041137695
2015-02-19,14837.22758102417,418.2462730407715,15255.473854064941
2015-02-20,7850.040159225463,7412.725248336792,15262.765407562256
2015-02-23,5382.54012298584,9891.605165481567,15274.145288467407
2015-02-24,2003.499984741211,13315.36512184143,15318.865106582642
2015-02-25,2644.6199798583984,12674.245126724243,15318.865106582642
2015-02-26,5201.949920654297,10113.285165786743,15315.23508644104
2015-02-27,9879.82738494873,5439.307542800903,15319.134927749634
2015-03-02,4633.309913635254,10729.710126876831,15363.020040512085
2015-03-03,14584.820213317871,773.6900463104248,15358.510259628296
2015-03-04,15276.89998626709,76.90004539489746,15353.800031661987
2015-03-05,13610.199932098389,1757.1200275421143,15367.319959640503
2015-03-06,15154.670078277588,108.85003852844238,15263.52011680603
2015-03-09,15011.160121917725,297.40003776550293,15308.560159683228
2015-03-10,14113.05006980896,1160.170000076294,15273.220069885254
2015-03-11,14533.749980926514,792.3499565124512,15326.099937438965
2015-03-12,7033.669918060303,8418.849840164185,15452.519758224487
2015-03-13,12280.539714813232,3130.8399238586426,15411.379638671875
2015-03-16,6551.350004196167,8942.749658584595,15494.099662780762
2015-03-17,7824.720087051392,7681.58967590332,15506.309762954712
2015-03-18,2308.62003326416,13297.419555664062,15606.039588928223
2015-03-19,0.0,15637.649480819702,15637.649480819702
2015-03-20,0.0,15637.649480819702,15637.649480819702
2015-03-23,0.0,15637.649480819702,15637.649480819702
2015-03-24,7621.880058288574,8015.769422531128,15637.649480819702
2015-03-25,15092.771465301514,430.41797447204567,15523.18943977356
2015-03-26,15460.489345550537,34.88026618957497,15495.369611740112
2015-03-27,11305.531970977783,4303.208688735962,15608.740659713745
2015-03-30,3665.0200881958012,12072.766269683838,15737.786357879639
2015-03-31,5965.429878234863,9775.186382293701,15740.616260528564
2015-04-01,10395.72989654541,5362.826328277588,15758.556224822998
2015-04-02,5077.630081176758,10755.39645767212,15833.026538848877
2015-04-06,0.0,15870.376483917236,15870.376483917236
2015-04-07,0.0,15870.376483917236,15870.376483917236
2015-04-08,3168.000030517578,12702.376453399658,15870.376483917236
2015-04-09,7734.300094604492,8136.076389312744,15870.376483917236
2015-04-10,8541.189819335938,7385.486530303955,15926.676349639893
2015-04-13,12346.679763793945,3558.3565711975098,15905.036334991455
2015-04-14,10568.380144119263,5363.456666946411,15931.836811065674
2015-04-15,13830.860252380371,2044.9766273498535,15875.836879730225
2015-04-16,1873.8799457550047,14060.596767425537,15934.476713180542
2015-04-17,13697.799932479858,2205.866828918457,15903.666761398315
2015-04-20,12378.160083770752,3556.246868133545,15934.406951904297
2015-04-21,3942.0,12073.61668586731,16015.61668586731
2015-04-22,13674.620124816895,2333.696672439575,16008.31679725647
2015-04-23,15111.169704437258,908.0666904449463,16019.236394882204
2015-04-24,0.0,16055.936902999878,16055.936902999878
2015-04-27,0.0,16055.936902999878,16055.936902999878
2015-04-28,9466.750045776367,6589.186857223511,16055.936902999878
2015-04-29,15850.960033416748,157.92684364318848,16008.886877059937
2015-04-30,15945.200275421143,25.49683952331543,15970.697114944458
2015-05-01,15794.40975189209,152.98684120178223,15947.396593093872
2015-05-04,14137.059715270996,1796.056833267212,15933.116548538208
2015-05-05,15778.63003540039,111.7268238067627,15890.356859207153
2015-05-06,15819.529983520508,26.94682502746582,15846.476808547974
2015-05-07,15676.340084075928,201.8168239593506,15878.156908035278
2015-05-08,9273.249961853027,6695.677194595337,15968.927156448364
2015-05-11,14452.569885253906,1460.6072254180908,15913.177110671997
2015-05-12,15371.10009765625,528.8472499847412,15899.947347640991
2015-05-13,15268.549934387207,631.8472957611084,15900.397230148315
2015-05-14,12324.09005355835,3622.9771366119385,15947.067190170288
2015-05-15,6375.8499755859375,9651.327165603638,16027.177141189575
2015-05-18,9225.449821472168,6773.627214431763,15999.07703590393
2015-05-19,12353.850021362305,3617.0972232818604,15970.947244644165
2015-05-20,14829.2299118042,1153.917230606079,15983.147142410278
2015-05-21,10548.620040893555,5487.68740272522,16036.307443618774
2015-05-22,9309.380157470703,6763.927457809448,16073.307615280151
2015-05-26,13309.240005493164,2761.4675731658936,16070.707578659058
2015-05-27,11580.250255584717,4585.527605056763,16165.77786064148
2015-05-28,11388.659828186035,4770.567575454712,16159.227403640747
2015-05-29,15575.499897003174,511.50758934020996,16087.007486343384
2015-06-01,16020.279754638672,59.9075870513916,16080.187341690063
2015-06-02,15221.76962852478,872.5476016998291,16094.31723022461
2015-06-03,11040.89992904663,5101.307783126831,16142.207712173462
